Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
TC-LOG,40.9897,28.2917,86,5975,262,2019-07-14 21:23:10.406163,48.284414040231916
TC-JJI,40.991,28.4592,79,4975,258,2019-07-14 21:23:10.406190,38.19602990089063
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:10.406203,2.242913743213571
UR-PSC,41.2111,28.7288,359,1475,141,2019-07-14 21:23:10.406214,5.551617991280392
A7-BFD,41.0992,28.7311,359,3650,198,2019-07-14 21:23:10.406224,17.9010357108059
TC-JJR,40.9281,29.4105,328,11150,257,2019-07-14 21:23:10.406236,67.04751435652848
TC-LOG,40.9899,28.2986,86,5900,262,2019-07-14 21:23:12.590092,47.8192684135057
TC-JJI,40.9924,28.4688,79,4950,258,2019-07-14 21:23:12.590189,37.577458166172605
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:12.590230,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:12.590261,5.119369008114552
A7-BFD,41.1023,28.731,359,3575,198,2019-07-14 21:23:12.590289,17.557209032292228
TC-JJR,40.9382,29.403,332,11150,260,2019-07-14 21:23:12.590319,65.90335431064244
TC-LOG,40.9899,28.2986,86,5900,262,2019-07-14 21:23:14.781758,47.8192684135057
TC-JJI,40.9924,28.4688,79,4950,258,2019-07-14 21:23:14.781831,37.577458166172605
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:14.781870,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:14.781899,5.119369008114552
A7-BFD,41.1023,28.731,359,3575,198,2019-07-14 21:23:14.781928,17.557209032292228
TC-JJR,40.9382,29.403,332,11150,260,2019-07-14 21:23:14.781958,65.90335431064244
TC-LOG,40.9904,28.3088,86,5800,263,2019-07-14 21:23:17.978207,47.12176065610605
TC-JJI,40.993,28.4735,79,4925,259,2019-07-14 21:23:17.978233,37.285019573717655
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:17.978247,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:17.978258,5.119369008114552
A7-BFD,41.1103,28.7308,359,3425,198,2019-07-14 21:23:17.978268,16.669829757758706
TC-JJR,40.9458,29.3984,335,11025,262,2019-07-14 21:23:17.978279,65.1198342404836
TC-LOG,40.9904,28.3088,86,5800,263,2019-07-14 21:23:20.175501,47.12176065610605
TC-JJI,40.993,28.4735,79,4925,259,2019-07-14 21:23:20.175573,37.285019573717655
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:20.175610,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:20.175641,5.119369008114552
A7-BFD,41.1056,28.731,359,3525,198,2019-07-14 21:23:20.175669,17.19073633288914
TC-JJR,40.9428,29.4001,335,11075,262,2019-07-14 21:23:20.175700,65.42048035699403
TC-LOG,40.9906,28.3149,86,5725,263,2019-07-14 21:23:22.383089,46.71423726563216
TC-JJI,40.9936,28.4776,79,4925,259,2019-07-14 21:23:22.383160,37.02472511585978
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:22.383198,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:22.383229,5.119369008114552
A7-BFD,41.1129,28.7308,359,3375,198,2019-07-14 21:23:22.383259,16.381159878230786
TC-JJR,40.9494,29.3965,337,10950,262,2019-07-14 21:23:22.383289,64.76984050219716
TC-LOG,40.9906,28.3149,86,5725,263,2019-07-14 21:23:24.568644,46.71423726563216
TC-JJI,40.9943,28.4828,79,4900,259,2019-07-14 21:23:24.568716,36.702210326605034
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:24.568752,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:24.568783,5.119369008114552
A7-BFD,41.1129,28.7308,359,3375,198,2019-07-14 21:23:24.568812,16.381159878230786
TC-JJR,40.9529,29.3947,338,10900,262,2019-07-14 21:23:24.568842,64.43387958544534
TC-LOG,40.9909,28.3227,86,5650,263,2019-07-14 21:23:26.794409,46.19296325751908
TC-JJI,40.9943,28.4828,79,4900,259,2019-07-14 21:23:26.794482,36.702210326605034
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:26.794521,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:26.794550,5.119369008114552
A7-BFD,41.1184,28.7307,359,3250,198,2019-07-14 21:23:26.794578,15.771108154087516
TC-JJR,40.9561,29.393,338,10875,262,2019-07-14 21:23:26.794607,64.123699104309
TC-LOG,40.9909,28.3227,86,5650,263,2019-07-14 21:23:28.986588,46.19296325751908
TC-JJI,40.9957,28.4928,79,4875,258,2019-07-14 21:23:28.986660,36.08427716267831
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:28.986697,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:28.986726,5.119369008114552
A7-BFD,41.1184,28.7307,359,3250,198,2019-07-14 21:23:28.986755,15.771108154087516
TC-JJR,40.9561,29.393,338,10875,262,2019-07-14 21:23:28.986785,64.123699104309
TC-LOG,40.9909,28.3227,86,5650,263,2019-07-14 21:23:31.197763,46.19296325751908
TC-JJI,40.9943,28.4828,79,4900,259,2019-07-14 21:23:31.197835,36.702210326605034
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:31.197872,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:31.197902,5.119369008114552
A7-BFD,41.1184,28.7307,359,3250,198,2019-07-14 21:23:31.197930,15.771108154087516
TC-JJR,40.9561,29.393,338,10875,262,2019-07-14 21:23:31.197959,64.123699104309
TC-LOG,40.9913,28.3326,86,5550,264,2019-07-14 21:23:33.386409,45.53489470581172
TC-JJI,40.9962,28.4968,79,4850,258,2019-07-14 21:23:33.386479,35.84526643317996
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:33.386515,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:33.386545,5.119369008114552
A7-BFD,41.1244,28.7306,359,3150,197,2019-07-14 21:23:33.386572,15.105709151086598
TC-JJR,40.9592,29.3914,338,10850,262,2019-07-14 21:23:33.386601,63.82732746118584
TC-LOG,40.9916,28.3389,86,5500,264,2019-07-14 21:23:35.571124,45.11573982881038
TC-JJI,40.9969,28.5021,79,4850,258,2019-07-14 21:23:35.571194,35.52767048388528
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:35.571231,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:35.571261,5.119369008114552
A7-BFD,41.1271,28.7305,359,3100,196,2019-07-14 21:23:35.571288,14.80665688713991
TC-JJR,40.9647,29.3885,338,10775,260,2019-07-14 21:23:35.571317,63.29904855865162
TC-LOG,40.9916,28.3389,86,5500,264,2019-07-14 21:23:37.751628,45.11573982881038
TC-JJI,40.9969,28.5021,79,4850,258,2019-07-14 21:23:37.751697,35.52767048388528
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:37.751734,2.242913743213571
UR-PSC,41.2151,28.7287,359,1400,138,2019-07-14 21:23:37.751765,5.119369008114552
A7-BFD,41.1271,28.7305,359,3100,196,2019-07-14 21:23:37.751793,14.80665688713991
TC-JJR,40.9647,29.3885,338,10775,260,2019-07-14 21:23:37.751823,63.29904855865162
TC-LOG,40.9916,28.3389,86,5500,264,2019-07-14 21:23:39.955254,45.11573982881038
TC-JJI,40.9976,28.5068,79,4825,258,2019-07-14 21:23:39.955281,35.241158780466975
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:39.955294,2.242913743213571
UR-PSC,41.2287,28.7284,359,1400,138,2019-07-14 21:23:39.955305,3.671476079964651
A7-BFD,41.1271,28.7305,359,3100,196,2019-07-14 21:23:39.955315,14.80665688713991
TC-JJR,40.9687,29.3865,338,10725,260,2019-07-14 21:23:39.955326,62.924244815668985
TC-LOG,40.9919,28.349,86,5400,263,2019-07-14 21:23:42.157897,44.46217911471407
TC-JJI,40.998,28.5099,79,4825,258,2019-07-14 21:23:42.157969,35.059127058756225
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:42.158006,2.242913743213571
UR-PSC,41.2287,28.7284,359,1400,138,2019-07-14 21:23:42.158036,3.671476079964651
A7-BFD,41.131,28.7304,359,3025,195,2019-07-14 21:23:42.158064,14.374526774143497
TC-JJR,40.9735,29.3841,338,10650,259,2019-07-14 21:23:42.158094,62.47631125775471
TC-LOG,40.9919,28.349,86,5400,263,2019-07-14 21:23:44.356088,44.46217911471407
TC-JJI,40.998,28.5099,79,4825,258,2019-07-14 21:23:44.356162,35.059127058756225
UR-PSC,41.2287,28.7284,359,1400,138,2019-07-14 21:23:44.356201,3.671476079964651
A7-BFD,41.131,28.7304,359,3025,195,2019-07-14 21:23:44.356232,14.374526774143497
TC-JJR,40.9735,29.3841,338,10650,259,2019-07-14 21:23:44.356262,62.47631125775471
TC-LOG,40.9919,28.349,86,5400,263,2019-07-14 21:23:46.559725,44.46217911471407
TC-JJI,40.998,28.5099,79,4825,258,2019-07-14 21:23:46.559798,35.059127058756225
UR-PSC,41.2287,28.7284,359,1400,138,2019-07-14 21:23:46.559836,3.671476079964651
A7-BFD,41.131,28.7304,359,3025,195,2019-07-14 21:23:46.559868,14.374526774143497
TC-JJR,40.9735,29.3841,338,10650,259,2019-07-14 21:23:46.559899,62.47631125775471
TC-LOG,40.9922,28.3557,87,5325,263,2019-07-14 21:23:48.747506,44.02465020527427
