Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
TC-JYB,41.0977,28.3334,129,6700,294,2019-07-14 21:37:24.343098,38.72755901467123
TC-JHU,41.0232,28.6733,83,4150,207,2019-07-14 21:37:24.343173,26.9627586415507
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:24.343211,2.8387088388183286
TC-JVT,41.1938,28.7292,358,1825,157,2019-07-14 21:37:24.343243,7.438840287000339
TC-JGA,41.2299,29.0169,199,7625,272,2019-07-14 21:37:24.343274,23.171032537518954
TC-JYB,41.095,28.3375,129,6550,296,2019-07-14 21:37:26.531627,38.56670480024406
TC-JHU,41.0235,28.6769,83,4150,207,2019-07-14 21:37:26.531698,26.86665999389069
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:26.531735,2.8387088388183286
TC-JVT,41.1938,28.7292,358,1825,157,2019-07-14 21:37:26.531765,7.438840287000339
TC-JGA,41.226,29.0152,199,7575,271,2019-07-14 21:37:26.531795,23.097857041873144
TC-JYB,41.095,28.3375,129,6550,296,2019-07-14 21:37:28.717947,38.56670480024406
TC-JHU,41.0235,28.6769,83,4150,207,2019-07-14 21:37:28.718020,26.86665999389069
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:28.718059,2.8387088388183286
TC-JVT,41.1938,28.7292,358,1825,157,2019-07-14 21:37:28.718090,7.438840287000339
TC-JGA,41.226,29.0152,199,7575,271,2019-07-14 21:37:28.718121,23.097857041873144
TC-JYB,41.0895,28.3463,129,6225,300,2019-07-14 21:37:30.909091,38.22110594289829
TC-JHU,41.0242,28.6845,83,4150,207,2019-07-14 21:37:30.909162,26.66669372770965
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:30.909201,2.8387088388183286
TC-JVT,41.2007,28.7291,359,1700,149,2019-07-14 21:37:30.909232,6.682728881131192
TC-JGA,41.2193,29.0118,199,7525,267,2019-07-14 21:37:30.909298,22.95340968370996
TC-JNB,41.4899,28.1422,129,12525,326,2019-07-14 21:37:33.081389,56.27567542093522
TC-JYB,41.0871,28.3502,129,6125,302,2019-07-14 21:37:33.081410,38.072494191594515
TC-JHU,41.0245,28.6883,83,4150,206,2019-07-14 21:37:33.081426,26.577432138452018
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:33.081440,2.8387088388183286
TC-JVT,41.2014,28.7291,359,1675,149,2019-07-14 21:37:33.081453,6.6060225080927415
TC-JGA,41.2158,29.0102,199,7500,265,2019-07-14 21:37:33.081467,22.903011713044975
TC-JYB,41.084,28.3552,129,6025,303,2019-07-14 21:37:35.323268,37.889282068310585
TC-JHU,41.0249,28.6919,83,4150,205,2019-07-14 21:37:35.323333,26.48344550727515
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:35.323367,2.8387088388183286
TC-JVT,41.2041,28.729,359,1625,147,2019-07-14 21:37:35.323395,6.311937075462248
TC-JGA,41.2158,29.0102,199,7500,265,2019-07-14 21:37:35.323422,22.903011713044975
TC-JYB,41.084,28.3552,129,6025,303,2019-07-14 21:37:37.511712,37.889282068310585
TC-JHU,41.0249,28.6919,83,4150,205,2019-07-14 21:37:37.511778,26.48344550727515
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:37.511812,2.8387088388183286
TC-JVT,41.2041,28.729,359,1625,147,2019-07-14 21:37:37.511840,6.311937075462248
TC-JGA,41.2158,29.0102,199,7500,265,2019-07-14 21:37:37.511867,22.903011713044975
TC-JNB,41.4866,28.1474,129,12450,326,2019-07-14 21:37:39.704322,55.7235043223566
TC-JYB,41.084,28.3552,129,6025,303,2019-07-14 21:37:39.704348,37.889282068310585
TC-JHU,41.0249,28.6919,83,4150,205,2019-07-14 21:37:39.704358,26.48344550727515
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:39.704368,2.8387088388183286
TC-JVT,41.2041,28.729,359,1625,147,2019-07-14 21:37:39.704376,6.311937075462248
TC-JGA,41.2158,29.0102,199,7500,265,2019-07-14 21:37:39.704385,22.903011713044975
TC-JNB,41.4837,28.1521,129,12400,326,2019-07-14 21:37:41.892480,55.228793393676035
TC-JYB,41.079,28.3632,129,5900,301,2019-07-14 21:37:41.892551,37.612873921389514
TC-JHU,41.026,28.6994,76,4150,204,2019-07-14 21:37:41.892586,26.268534544788217
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:41.892618,2.8387088388183286
TC-JVT,41.2085,28.7289,358,1550,142,2019-07-14 21:37:41.892647,5.833026412913142
TC-JGA,41.2054,29.0053,199,7425,259,2019-07-14 21:37:41.892675,22.784672200312237
TC-JNB,41.4837,28.1521,129,12400,326,2019-07-14 21:37:44.170437,55.228793393676035
TC-JYB,41.0817,28.3587,129,5950,302,2019-07-14 21:37:44.170516,37.772731914609444
TC-JHU,41.0253,28.6956,80,4150,205,2019-07-14 21:37:44.170559,26.391390988271674
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:44.170595,2.8387088388183286
TC-JVT,41.2066,28.7289,359,1575,144,2019-07-14 21:37:44.170628,6.04031175133319
TC-JGA,41.2091,29.0069,199,7450,261,2019-07-14 21:37:44.170662,22.807685302249784
TC-JNB,41.4782,28.161,129,12250,326,2019-07-14 21:37:46.348829,54.29215969781297
TC-JYB,41.0761,28.3678,129,5850,299,2019-07-14 21:37:46.348901,37.46366153301251
TC-JHU,41.027,28.7029,70,4150,204,2019-07-14 21:37:46.348937,26.11930568467621
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:46.348969,2.8387088388183286
TC-JVT,41.2099,28.7289,358,1525,142,2019-07-14 21:37:46.348998,5.680480898236318
TC-JGA,41.2018,29.0037,199,7375,258,2019-07-14 21:37:46.349027,22.7666721089103
TC-JNB,41.4772,28.1626,129,12225,326,2019-07-14 21:37:48.538137,54.12330545420762
TC-JYB,41.0738,28.3716,129,5800,297,2019-07-14 21:37:48.538199,37.33910777720041
TC-JHU,41.0282,28.7062,63,4150,203,2019-07-14 21:37:48.538230,25.952883076176064
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:48.538257,2.8387088388183286
TC-JVT,41.2125,28.7288,359,1475,139,2019-07-14 21:37:48.538281,5.399462632296181
TC-JGA,41.2018,29.0037,199,7375,258,2019-07-14 21:37:48.538305,22.7666721089103
TC-JNB,41.4772,28.1626,129,12225,326,2019-07-14 21:37:50.735659,54.12330545420762
TC-JYB,41.0738,28.3716,129,5800,297,2019-07-14 21:37:50.735732,37.33910777720041
TC-JHU,41.0297,28.7091,59,4150,204,2019-07-14 21:37:50.735767,25.759509631110838
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:50.735798,2.8387088388183286
TC-JVT,41.2125,28.7288,359,1475,139,2019-07-14 21:37:50.735827,5.399462632296181
TC-JGA,41.1952,29.0006,199,7275,257,2019-07-14 21:37:50.735855,22.740727626061815
TC-JNB,41.4772,28.1626,129,12225,326,2019-07-14 21:37:52.912745,54.12330545420762
TC-JYB,41.0738,28.3716,129,5800,297,2019-07-14 21:37:52.912782,37.33910777720041
TC-JHU,41.0297,28.7091,59,4150,204,2019-07-14 21:37:52.912801,25.759509631110838
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:52.912817,2.8387088388183286
TC-JVT,41.2125,28.7288,359,1475,139,2019-07-14 21:37:52.912832,5.399462632296181
TC-JGA,41.1952,29.0006,199,7275,257,2019-07-14 21:37:52.912847,22.740727626061815
TC-JNB,41.47,28.1742,129,12050,325,2019-07-14 21:37:55.103934,52.902400541053005
TC-JYB,41.0687,28.3798,129,5675,294,2019-07-14 21:37:55.104005,37.09291354158816
TC-JHU,41.0317,28.7125,50,4150,203,2019-07-14 21:37:55.104041,25.50854710758983
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:55.104072,2.8387088388183286
TC-JVT,41.2159,28.7287,359,1400,138,2019-07-14 21:37:55.104100,5.0327954176929115
TC-JGA,41.1919,28.999,199,7250,257,2019-07-14 21:37:55.104129,22.733780507967147
TC-JNB,41.47,28.1742,129,12050,325,2019-07-14 21:37:57.287600,52.902400541053005
TC-JYB,41.0662,28.3839,129,5575,292,2019-07-14 21:37:57.287671,36.973963909560574
TC-JHU,41.0337,28.7148,44,4150,204,2019-07-14 21:37:57.287707,25.268627257067383
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:57.287737,2.8387088388183286
TC-JVT,41.2179,28.7287,359,1375,138,2019-07-14 21:37:57.287765,4.816745792316252
TC-JGA,41.1885,28.9974,199,7175,256,2019-07-14 21:37:57.287794,22.737432063587796
TC-JNB,41.47,28.1742,129,12050,325,2019-07-14 21:37:59.480771,52.902400541053005
TC-JYB,41.0662,28.3839,129,5575,292,2019-07-14 21:37:59.480841,36.973963909560574
TC-JHU,41.0337,28.7148,44,4150,204,2019-07-14 21:37:59.480876,25.268627257067383
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:37:59.480906,2.8387088388183286
TC-JVT,41.2179,28.7287,359,1375,138,2019-07-14 21:37:59.480934,4.816745792316252
TC-JGA,41.1885,28.9974,199,7175,256,2019-07-14 21:37:59.480962,22.737432063587796
TC-JNB,41.47,28.1742,129,12050,325,2019-07-14 21:38:01.663881,52.902400541053005
TC-JYB,41.0662,28.3839,129,5575,292,2019-07-14 21:38:01.663943,36.973963909560574
TC-JHU,41.0337,28.7148,44,4150,204,2019-07-14 21:38:01.663974,25.268627257067383
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:38:01.664000,2.8387088388183286
TC-JVT,41.2179,28.7287,359,1375,138,2019-07-14 21:38:01.664025,4.816745792316252
TC-JGA,41.1885,28.9974,199,7175,256,2019-07-14 21:38:01.664049,22.737432063587796
TC-JYB,41.0632,28.3887,129,5400,293,2019-07-14 21:38:03.875854,36.84576920188071
TC-JHU,41.0359,28.717,37,4150,203,2019-07-14 21:38:03.875997,25.00842499255583
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:38:03.876073,2.8387088388183286
TC-JVT,41.2179,28.7287,359,1375,138,2019-07-14 21:38:03.876139,4.816745792316252
TC-JGA,41.1885,28.9974,199,7175,256,2019-07-14 21:38:03.876208,22.737432063587796
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:06.049187,51.69590045545661
TC-JYB,41.0632,28.3887,129,5400,293,2019-07-14 21:38:06.049279,36.84576920188071
TC-JHU,41.0408,28.7208,28,4150,202,2019-07-14 21:38:06.049319,24.439483515385636
TC-JJR,41.2368,28.7283,359,1400,135,2019-07-14 21:38:06.049349,2.8387088388183286
TC-JVT,41.2179,28.7287,359,1375,138,2019-07-14 21:38:06.049374,4.816745792316252
TC-JGA,41.1784,28.9929,199,7025,254,2019-07-14 21:38:06.049400,22.809302663909335
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:08.231130,51.69590045545661
TC-JYB,41.0632,28.3887,129,5400,293,2019-07-14 21:38:08.231195,36.84576920188071
TC-JHU,41.0408,28.7208,28,4150,202,2019-07-14 21:38:08.231232,24.439483515385636
TC-JVT,41.2239,28.7286,359,1250,138,2019-07-14 21:38:08.231262,4.175001061735869
TC-JGA,41.1784,28.9929,199,7025,254,2019-07-14 21:38:08.231291,22.809302663909335
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:10.411471,51.69590045545661
TC-JYB,41.0552,28.4016,129,4975,299,2019-07-14 21:38:10.411528,36.53155668063134
TC-JHU,41.0432,28.7224,27,4150,202,2019-07-14 21:38:10.411557,24.16347903063631
TC-JVT,41.2239,28.7286,359,1250,138,2019-07-14 21:38:10.411581,4.175001061735869
TC-JGA,41.1751,28.9913,199,6975,253,2019-07-14 21:38:10.411605,22.836151457520437
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:12.602582,51.69590045545661
TC-JYB,41.0527,28.4055,129,4900,300,2019-07-14 21:38:12.602695,36.45230679048683
TC-JHU,41.0459,28.7243,27,4150,202,2019-07-14 21:38:12.602751,23.853084840412485
TC-JVT,41.2239,28.7286,359,1250,138,2019-07-14 21:38:12.602801,4.175001061735869
TC-JGA,41.1716,28.9898,199,6925,253,2019-07-14 21:38:12.602857,22.88675885929971
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:14.771293,51.69590045545661
TC-JYB,41.0501,28.4097,129,4850,298,2019-07-14 21:38:14.771350,36.36579948018952
TC-JHU,41.0481,28.7257,26,4150,202,2019-07-14 21:38:14.771361,23.6015189248849
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:14.771370,3.6161914744630956
TC-JGA,41.1684,28.9882,199,6875,253,2019-07-14 21:38:14.771378,22.922165384687226
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:16.968903,51.69590045545661
TC-JYB,41.0501,28.4097,129,4850,298,2019-07-14 21:38:16.968921,36.36579948018952
TC-JHU,41.0481,28.7257,26,4150,202,2019-07-14 21:38:16.968931,23.6015189248849
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:16.968941,3.6161914744630956
TC-JGA,41.1684,28.9882,199,6875,253,2019-07-14 21:38:16.968963,22.922165384687226
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:19.149218,51.69590045545661
TC-JYB,41.0501,28.4097,129,4850,298,2019-07-14 21:38:19.149318,36.36579948018952
TC-JHU,41.0511,28.7272,21,4150,202,2019-07-14 21:38:19.149355,23.261082778047307
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:19.149383,3.6161914744630956
TC-JGA,41.1651,28.9867,199,6825,252,2019-07-14 21:38:19.149408,22.976355855566425
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:21.334198,51.69590045545661
TC-JYB,41.0501,28.4097,129,4850,298,2019-07-14 21:38:21.334275,36.36579948018952
TC-JHU,41.0511,28.7272,21,4150,202,2019-07-14 21:38:21.334313,23.261082778047307
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:21.334344,3.6161914744630956
TC-JGA,41.1651,28.9867,199,6825,252,2019-07-14 21:38:21.334374,22.976355855566425
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:23.518406,51.69590045545661
TC-JYB,41.0501,28.4097,129,4850,298,2019-07-14 21:38:23.518469,36.36579948018952
TC-JHU,41.0511,28.7272,21,4150,202,2019-07-14 21:38:23.518502,23.261082778047307
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:23.518530,3.6161914744630956
TC-JGA,41.1651,28.9867,199,6825,252,2019-07-14 21:38:23.518557,22.976355855566425
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:25.740851,51.69590045545661
TC-JYB,41.0423,28.4226,127,4800,289,2019-07-14 21:38:25.740924,36.12069440430537
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:25.740963,3.6161914744630956
TC-JHU,41.0561,28.7291,15,4150,200,2019-07-14 21:38:25.740994,22.697262558415154
TC-JGA,41.158,28.9836,199,6700,251,2019-07-14 21:38:25.741023,23.123843506249223
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:27.934340,51.69590045545661
TC-JYB,41.0423,28.4226,127,4800,289,2019-07-14 21:38:27.934414,36.12069440430537
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:27.934453,3.6161914744630956
TC-JHU,41.0561,28.7291,15,4150,200,2019-07-14 21:38:27.934484,22.697262558415154
TC-JGA,41.158,28.9836,199,6700,251,2019-07-14 21:38:27.934514,23.123843506249223
TC-JNB,41.4626,28.1855,131,11900,325,2019-07-14 21:38:30.126758,51.69590045545661
TC-JYB,41.0402,28.4268,123,4800,284,2019-07-14 21:38:30.126829,36.01873343908554
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:30.126867,3.6161914744630956
TC-JHU,41.0588,28.73,14,4175,200,2019-07-14 21:38:30.126899,22.393610707300986
TC-JGA,41.1548,28.9821,199,6650,251,2019-07-14 21:38:30.126929,23.19230158444075
TC-JHV,41.0931,28.1141,58,8500,259,2019-07-14 21:38:32.309107,55.80408374804648
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:32.309171,48.005365644586576
TC-JYB,41.0383,28.4316,118,4825,281,2019-07-14 21:38:32.309202,35.86960110411293
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:32.309228,3.6161914744630956
TC-JHU,41.0618,28.7309,12,4175,199,2019-07-14 21:38:32.309281,22.056789811802247
TC-JGA,41.1519,28.9805,199,6625,251,2019-07-14 21:38:32.309312,23.242208464893015
TC-JHV,41.0931,28.1141,58,8500,259,2019-07-14 21:38:34.486761,55.80408374804648
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:34.486790,48.005365644586576
TC-JYB,41.0383,28.4316,118,4825,281,2019-07-14 21:38:34.486803,35.86960110411293
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:34.486815,3.6161914744630956
TC-JHU,41.0618,28.7309,12,4175,199,2019-07-14 21:38:34.486825,22.056789811802247
TC-JGA,41.1519,28.9805,199,6625,251,2019-07-14 21:38:34.486836,23.242208464893015
TC-JHV,41.095,28.1183,58,8450,259,2019-07-14 21:38:36.672229,55.401545027925636
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:36.672294,48.005365644586576
TC-JYB,41.037,28.4358,113,4850,277,2019-07-14 21:38:36.672325,35.71526767268347
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:36.672352,3.6161914744630956
TC-JHU,41.0645,28.7315,10,4175,199,2019-07-14 21:38:36.672378,21.754545300459235
TC-JGA,41.1484,28.9789,199,6550,250,2019-07-14 21:38:36.672403,23.332715841961676
TC-JHV,41.0968,28.1221,58,8375,259,2019-07-14 21:38:38.856385,55.034458925902
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:38.856459,48.005365644586576
TC-JYB,41.0358,28.4402,110,4875,275,2019-07-14 21:38:38.856496,35.544565848129395
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:38.856527,3.6161914744630956
TC-JHU,41.0671,28.7319,7,4175,199,2019-07-14 21:38:38.856555,21.464179329355616
TC-JGA,41.1484,28.9789,199,6550,250,2019-07-14 21:38:38.856585,23.332715841961676
TC-JHV,41.0985,28.1261,59,8325,260,2019-07-14 21:38:41.032977,54.65538292676069
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:41.033050,48.005365644586576
TC-JYB,41.0345,28.4457,106,4900,273,2019-07-14 21:38:41.033086,35.320308932670336
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:41.033116,3.6161914744630956
TC-JHU,41.0696,28.7321,4,4175,198,2019-07-14 21:38:41.033144,21.18564526860768
TC-JGA,41.1422,28.976,199,6450,249,2019-07-14 21:38:41.033173,23.50529288680337
TC-JHV,41.0985,28.1261,59,8325,260,2019-07-14 21:38:43.265612,54.65538292676069
TC-JNB,41.4399,28.2202,131,11900,325,2019-07-14 21:38:43.265685,48.005365644586576
TC-JYB,41.0345,28.4457,106,4900,273,2019-07-14 21:38:43.265722,35.320308932670336
TC-JVT,41.2292,28.7285,358,1150,138,2019-07-14 21:38:43.265754,3.6161914744630956
TC-JHU,41.0696,28.7321,4,4175,198,2019-07-14 21:38:43.265783,21.18564526860768
TC-JGA,41.1422,28.976,199,6450,249,2019-07-14 21:38:43.265812,23.50529288680337
TC-JHV,41.1004,28.1309,61,8250,262,2019-07-14 21:38:45.451496,54.20576187385662
TC-JNB,41.4299,28.2357,131,11900,325,2019-07-14 21:38:45.451571,46.3705389191326
TC-JYB,41.0337,28.4502,104,4900,272,2019-07-14 21:38:45.451608,35.11963813173142
TC-JVT,41.2428,28.7279,358,1150,138,2019-07-14 21:38:45.451638,2.2706838592234146
TC-JHU,41.0725,28.7322,2,4175,198,2019-07-14 21:38:45.451667,20.863011660059016
TC-JGA,41.1388,28.9744,199,6400,248,2019-07-14 21:38:45.451697,23.608328306556455
TC-JHV,41.1017,28.1349,66,8200,265,2019-07-14 21:38:47.774171,53.84154633973739
TC-JNB,41.4012,28.2057,183,10950,317,2019-07-14 21:38:47.774244,47.52882800543798
TC-JYB,41.033,28.4556,100,4900,270,2019-07-14 21:38:47.774281,34.86200194076576
TC-JVT,41.2428,28.7279,358,1150,138,2019-07-14 21:38:47.774312,2.2706838592234146
TC-JHU,41.0753,28.7322,2,4125,199,2019-07-14 21:38:47.774341,20.551849977157122
TC-JGA,41.1351,28.9729,199,6350,248,2019-07-14 21:38:47.774370,23.74401563558548
TC-JHV,41.103,28.1399,71,8125,266,2019-07-14 21:38:50.048421,53.398226679835304
TC-JNB,41.4012,28.2057,183,10950,317,2019-07-14 21:38:50.048495,47.52882800543798
TC-JYB,41.0325,28.4605,98,4900,270,2019-07-14 21:38:50.048533,34.6208164961573
TC-JVT,41.2428,28.7279,358,1150,138,2019-07-14 21:38:50.048565,2.2706838592234146
TC-JHU,41.0781,28.7322,358,4075,199,2019-07-14 21:38:50.048594,20.2406969639561
TC-JGA,41.1321,28.9714,199,6300,247,2019-07-14 21:38:50.048624,23.840082732223564
TC-JNB,41.4012,28.2057,183,10950,317,2019-07-14 21:38:52.249719,47.52882800543798
TC-JYB,41.0325,28.4605,98,4900,270,2019-07-14 21:38:52.249761,34.6208164961573
TC-JVT,41.2428,28.7279,358,1150,138,2019-07-14 21:38:52.249783,2.2706838592234146
TC-JHU,41.0781,28.7322,358,4075,199,2019-07-14 21:38:52.249801,20.2406969639561
TC-JGA,41.1289,28.9699,199,6250,247,2019-07-14 21:38:52.249818,23.95461312693797
TC-JHV,41.1038,28.1446,76,8050,268,2019-07-14 21:38:54.441794,52.99702508112252
TC-JNB,41.4012,28.2057,183,10950,317,2019-07-14 21:38:54.441860,47.52882800543798
TC-JYB,41.0322,28.4648,96,4900,270,2019-07-14 21:38:54.441887,34.400491818970096
TC-JVT,41.2428,28.7279,358,1150,138,2019-07-14 21:38:54.441909,2.2706838592234146
TC-JHU,41.0809,28.7321,358,4025,199,2019-07-14 21:38:54.441931,19.9299253088561
TC-JGA,41.1289,28.9699,199,6250,247,2019-07-14 21:38:54.441953,23.95461312693797
TC-JNB,41.3884,28.205,182,10800,315,2019-07-14 21:38:56.631301,47.137122332199155
TC-JYB,41.0322,28.4648,96,4900,270,2019-07-14 21:38:56.631362,34.400491818970096
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:38:56.631395,1.7295327400747684
TC-JHU,41.0864,28.7317,357,3875,201,2019-07-14 21:38:56.631422,19.32036188746459
TC-JGA,41.1222,28.9668,199,6150,246,2019-07-14 21:38:56.631447,24.214320816625875
TC-JNB,41.3871,28.2049,182,10800,315,2019-07-14 21:38:58.837643,47.101873345468526
TC-JYB,41.0319,28.4749,90,4900,270,2019-07-14 21:38:58.837718,33.85875574940655
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:38:58.837759,1.7295327400747684
TC-JHU,41.0864,28.7317,357,3875,201,2019-07-14 21:38:58.837792,19.32036188746459
TC-JGA,41.1222,28.9668,199,6150,246,2019-07-14 21:38:58.837822,24.214320816625875
TC-JNB,41.3797,28.2046,181,10700,314,2019-07-14 21:39:01.010559,46.88768186814244
TC-JYB,41.0319,28.48,90,4900,270,2019-07-14 21:39:01.010586,33.577247890495094
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:01.010599,1.7295327400747684
TC-JHU,41.0892,28.7316,357,3800,202,2019-07-14 21:39:01.010609,19.009688125584432
TC-JGA,41.1192,28.9653,199,6100,245,2019-07-14 21:39:01.010619,24.330815325947952
TC-JNB,41.3747,28.2045,181,10650,314,2019-07-14 21:39:03.184210,46.74236387250136
TC-JYB,41.0319,28.48,90,4900,270,2019-07-14 21:39:03.184274,33.577247890495094
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:03.184308,1.7295327400747684
TC-JHU,41.092,28.7314,357,3725,204,2019-07-14 21:39:03.184335,18.699466638989954
TC-JGA,41.1161,28.9637,200,6050,246,2019-07-14 21:39:03.184361,24.45289573401468
TC-JNB,41.3747,28.2045,181,10650,314,2019-07-14 21:39:05.387357,46.74236387250136
TC-JYB,41.0319,28.48,90,4900,270,2019-07-14 21:39:05.387405,33.577247890495094
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:05.387431,1.7295327400747684
TC-JHU,41.092,28.7314,357,3725,204,2019-07-14 21:39:05.387455,18.699466638989954
TC-JGA,41.1161,28.9637,200,6050,246,2019-07-14 21:39:05.387479,24.45289573401468
TC-JNB,41.371,28.2044,181,10600,313,2019-07-14 21:39:07.561434,46.640902979379085
TC-JYB,41.0319,28.4902,90,4900,270,2019-07-14 21:39:07.561457,33.0236114859232
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:07.561468,1.7295327400747684
TC-JHU,41.0949,28.7312,357,3675,204,2019-07-14 21:39:07.561477,18.37819396854142
TC-JGA,41.1126,28.9621,200,6000,245,2019-07-14 21:39:07.561485,24.60956794084664
TC-JNB,41.371,28.2044,181,10600,313,2019-07-14 21:39:09.752300,46.640902979379085
TC-JYB,41.0319,28.4902,90,4900,270,2019-07-14 21:39:09.752371,33.0236114859232
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:09.752409,1.7295327400747684
TC-JHU,41.0949,28.7312,357,3675,204,2019-07-14 21:39:09.752441,18.37819396854142
TC-JGA,41.1126,28.9621,200,6000,245,2019-07-14 21:39:09.752470,24.60956794084664
TC-JNB,41.371,28.2044,181,10600,313,2019-07-14 21:39:11.942872,46.640902979379085
TC-JYB,41.0318,28.495,90,4900,270,2019-07-14 21:39:11.942935,32.77616738737713
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:11.942967,1.7295327400747684
TC-JHU,41.0977,28.7311,357,3600,204,2019-07-14 21:39:11.942995,18.06763623172163
TC-JGA,41.1094,28.9606,200,5950,244,2019-07-14 21:39:11.943020,24.75563508015667
TC-JNB,41.371,28.2044,181,10600,313,2019-07-14 21:39:14.116818,46.640902979379085
TC-JYB,41.0318,28.495,90,4900,270,2019-07-14 21:39:14.116902,32.77616738737713
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:14.116934,1.7295327400747684
TC-JHU,41.0977,28.7311,357,3600,204,2019-07-14 21:39:14.116961,18.06763623172163
TC-JGA,41.1094,28.9606,200,5950,244,2019-07-14 21:39:14.116987,24.75563508015667
TC-JHV,41.1043,28.1538,85,7925,268,2019-07-14 21:39:16.331019,52.251349536014175
TC-JNB,41.3581,28.2041,180,10525,312,2019-07-14 21:39:16.331089,46.310100984152825
TC-JYB,41.0317,28.5049,90,4900,270,2019-07-14 21:39:16.331128,32.26634302398702
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:16.331161,1.7295327400747684
TC-JHU,41.1036,28.7308,358,3500,204,2019-07-14 21:39:16.331189,17.41379053541276
TC-JGA,41.1031,28.9575,199,5850,245,2019-07-14 21:39:16.331218,25.048481869389235
TC-JNB,41.3581,28.2041,180,10525,312,2019-07-14 21:39:18.491456,46.310100984152825
TC-JYB,41.0317,28.5049,90,4900,270,2019-07-14 21:39:18.491472,32.26634302398702
TC-JVT,41.2493,28.7276,358,1150,138,2019-07-14 21:39:18.491479,1.7295327400747684
TC-JHU,41.1036,28.7308,358,3500,204,2019-07-14 21:39:18.491485,17.41379053541276
TC-JGA,41.1031,28.9575,199,5850,245,2019-07-14 21:39:18.491490,25.048481869389235
TC-JHV,41.0955,28.1914,114,7400,267,2019-07-14 21:39:20.693522,49.64745552136185
